process,array size,operator,run1(MB/s),run2(MB/s),run3(MB/s),run4(MB/s),run5(MB/s)
24,16K,stream_copy_bandwidth,963787.28,963771.07,963795.39,963786.99,963777.22
24,16K,stream_scale_bandwidth,960838.42,960826.57,960827.07,960837.46,960827.94
24,16K,stream_add_bandwidth,975952,975979.85,975920,975964.57,976003.72
24,16K,stream_triad_bandwidth,1161382.77,1161377.88,1161351.81,1161393.63,1152913.67
24,16K,stream2_fill_bandwidth,482717.07,482676.47,482693.93,482681.43,482695.83
24,16K,stream2_copy_bandwidth,963772.19,963793.81,963783.84,963765.33,963783.18
24,16K,stream2_daxpy_bandwidth,1163876.1,1163832.06,1163847.36,1163830.05,1163842.34
24,16K,stream2_sum_bandwidth,325328.38,325322.1,325321.24,325324.49,325322.19
24,128K,stream_copy_bandwidth,992907.33,992992.08,992791.12,993198.11,993242.03
24,128K,stream_scale_bandwidth,988681.53,988605.48,988351.4,989036.92,988644.33
24,128K,stream_add_bandwidth,992684.91,992637.89,992429.29,992851.91,992745.71
24,128K,stream_triad_bandwidth,1188701.17,1188542.47,1188204.28,1189101.61,1188547.95
24,128K,stream2_fill_bandwidth,496961.71,496970.9,496953.27,496969.9,496958.24
24,128K,stream2_copy_bandwidth,992649.47,992775.28,993218.22,993233.58,992778.77
24,128K,stream2_daxpy_bandwidth,1184395.57,1184099.37,1184309.46,1184541.38,1184675.18
24,128K,stream2_sum_bandwidth,330793.29,330890.63,331040.49,331044.77,330950.94
24,16M,stream_copy_bandwidth,97269.46,90737.29,85388.55,97351.93,91052.45
24,16M,stream_scale_bandwidth,99029.11,101634.33,101526.88,101834.73,101246.53
24,16M,stream_add_bandwidth,338169.96,337553.33,337576.05,337987.45,338497.13
24,16M,stream_triad_bandwidth,96364.95,109806.96,110268.7,109951.72,109672.56
24,16M,stream2_fill_bandwidth,90829.5,117213.76,96274.32,90127.79,105419.57
24,16M,stream2_copy_bandwidth,91110.23,94075.35,97405.8,100889.67,81593.42
24,16M,stream2_daxpy_bandwidth,114637.78,99980.52,110478.28,109855.22,112322.87
24,16M,stream2_sum_bandwidth,112840.02,112888.69,112846.01,112580.98,112860.13
24,256M,stream_copy_bandwidth,109558.1,101282.17,105569.41,87562.56,107595.92
24,256M,stream_scale_bandwidth,104244.69,101973.35,100245.3,101888.76,104140.51
24,256M,stream_add_bandwidth,338574.42,337841.08,338338.06,338851.84,338286.36
24,256M,stream_triad_bandwidth,112808.83,112674.78,114514.37,102464.98,102580.42
24,256M,stream2_fill_bandwidth,79323.3,76862.9,108177.85,79142.01,72577.16
24,256M,stream2_copy_bandwidth,107630.41,95453.3,95595.28,95573.42,105571.35
24,256M,stream2_daxpy_bandwidth,113034.09,98948.52,98654.43,104761.86,105406.64
24,256M,stream2_sum_bandwidth,112753.03,112922.27,112821.66,112659.41,112591.02
